observation_date,EONIARATE
1999-01-04,3.200000000000000178
1999-01-05,3.200000000000000178
1999-01-06,3.209999999999999964
1999-01-07,3.209999999999999964
1999-01-08,3.209999999999999964
1999-01-11,3.200000000000000178
1999-01-12,3.189999999999999947
1999-01-13,3.180000000000000160
1999-01-14,3.160000000000000142
1999-01-15,3.100000000000000089
1999-01-18,3.020000000000000018
1999-01-19,2.979999999999999982
1999-01-20,3.009999999999999787
1999-01-21,3.029999999999999805
1999-01-22,3.069999999999999840
1999-01-25,3.140000000000000124
1999-01-26,3.220000000000000195
1999-01-27,3.129999999999999893
1999-01-28,3.120000000000000107
1999-01-29,3.160000000000000142
1999-02-01,3.169999999999999929
1999-02-02,3.180000000000000160
1999-02-03,3.180000000000000160
1999-02-04,3.169999999999999929
1999-02-05,3.149999999999999911
1999-02-08,3.149999999999999911
1999-02-09,3.129999999999999893
1999-02-10,3.120000000000000107
1999-02-11,3.100000000000000089
1999-02-12,3.080000000000000071
1999-02-15,3.060000000000000053
1999-02-16,3.040000000000000036
1999-02-17,3.029999999999999805
1999-02-18,3.020000000000000018
1999-02-19,3.029999999999999805
1999-02-22,3.049999999999999822
1999-02-23,3.339999999999999858
1999-02-24,3.129999999999999893
1999-02-25,3.109999999999999876
1999-02-26,3.120000000000000107
1999-03-01,3.120000000000000107
1999-03-02,3.109999999999999876
1999-03-03,3.080000000000000071
1999-03-04,3.060000000000000053
1999-03-05,3.040000000000000036
1999-03-08,3.029999999999999805
1999-03-09,3.029999999999999805
1999-03-10,3.020000000000000018
1999-03-11,2.990000000000000213
1999-03-12,2.919999999999999929
1999-03-15,2.899999999999999911
1999-03-16,2.899999999999999911
1999-03-17,2.979999999999999982
1999-03-18,2.950000000000000178
1999-03-19,2.649999999999999911
1999-03-22,2.189999999999999947
1999-03-23,2.390000000000000124
1999-03-24,2.979999999999999982
1999-03-25,2.990000000000000213
1999-03-26,2.990000000000000213
1999-03-29,2.990000000000000213
1999-03-30,2.979999999999999982
1999-03-31,2.990000000000000213
1999-04-01,2.979999999999999982
1999-04-02,2.959999999999999964
1999-04-05,2.970000000000000195
1999-04-06,2.979999999999999982
1999-04-07,3.080000000000000071
1999-04-08,3.109999999999999876
1999-04-09,2.810000000000000053
1999-04-12,2.770000000000000018
1999-04-13,2.729999999999999982
1999-04-14,2.600000000000000089
1999-04-15,2.580000000000000071
1999-04-16,2.549999999999999822
1999-04-19,2.509999999999999787
1999-04-20,2.470000000000000195
1999-04-21,2.470000000000000195
1999-04-22,2.470000000000000195
1999-04-23,2.930000000000000160
1999-04-26,2.529999999999999805
1999-04-27,2.529999999999999805
1999-04-28,2.520000000000000018
1999-04-29,2.520000000000000018
1999-04-30,2.529999999999999805
1999-05-03,2.520000000000000018
1999-05-04,2.509999999999999787
1999-05-05,2.509999999999999787
1999-05-06,2.509999999999999787
1999-05-07,2.509999999999999787
1999-05-10,2.509999999999999787
1999-05-11,2.509999999999999787
1999-05-12,2.509999999999999787
1999-05-13,2.509999999999999787
1999-05-14,2.509999999999999787
1999-05-17,2.520000000000000018
1999-05-18,2.529999999999999805
1999-05-19,2.640000000000000124
1999-05-20,3.020000000000000018
1999-05-21,2.609999999999999876
1999-05-24,2.540000000000000036
1999-05-25,2.540000000000000036
1999-05-26,2.520000000000000018
1999-05-27,2.509999999999999787
1999-05-28,2.509999999999999787
1999-05-31,2.520000000000000018
1999-06-01,2.520000000000000018
1999-06-02,2.529999999999999805
1999-06-03,2.540000000000000036
1999-06-04,2.540000000000000036
1999-06-07,2.540000000000000036
1999-06-08,2.540000000000000036
1999-06-09,2.540000000000000036
1999-06-10,2.540000000000000036
1999-06-11,2.549999999999999822
1999-06-14,2.549999999999999822
1999-06-15,2.549999999999999822
1999-06-16,2.560000000000000053
1999-06-17,2.580000000000000071
1999-06-18,2.600000000000000089
1999-06-21,2.669999999999999929
1999-06-22,2.660000000000000142
1999-06-23,2.229999999999999982
1999-06-24,2.549999999999999822
1999-06-25,2.580000000000000071
1999-06-28,2.600000000000000089
